[Section 3]

[Enemy 1]
p9.pos = 1.7,0.6
s1.time = 60
s1.name = "enemy_circle_mid"
s1.frequency = 60
s2.time = 99999
power = 20
score = 10
life = 150
death.shot = "enemy_five_aimed_slow"

[Enemy 1]
time = 0
name = "enemyBig"
speed = 0.5
radius = 11
p1.pos = 0.5,-.1
p2.pos = 0.5,0.0
p3.pos = 0.5,0.1
p4.pos = 0.5,0.2
p5.pos = 0.5,0.3
p6.pos = 0.5,0.4
p7.pos = 0.5,0.5
p8.pos = 0.5,0.6
p9.pos = 1.5,0.6
s1.time = 60
s1.name = "enemy_circle_mid"
s1.frequency = 60
s2.time = 99999
power = 20
score = 10
life = 150
death.shot = "enemy_five_aimed_slow"



[Enemy 1]
time = 120
name = "enemyBig"
speed = 0.5
radius = 11
p1.pos = -0.1,0.2
p2.pos = 0.0,0.2
p3.pos = 0.1,0.2
p4.pos = 0.2,0.2
p5.pos = 0.3,0.2
p6.pos = 0.4,0.2
p7.pos = 0.5,0.2
p8.pos = 0.6,0.2
p9.pos = 0.7,0.2
p10.pos = 0.8,0.2
p11.pos = 0.9,0.2
p12.pos = 1.0,0.2
p13.pos = 1.1,0.2
s1.time = 60
s1.name = "enemy_circle_mid"
s1.frequency = 60
s2.time = 99999
power = 20
score = 10
life = 150
death.shot = "enemy_five_aimed_slow"

[Enemy 1]
time = 0
name = "enemyBig"
speed = 0.5
radius = 11
p1.pos = 1.1,0.2
p2.pos = 1.0,0.2
p3.pos = 0.9,0.2
p4.pos = 0.8,0.2
p5.pos = 0.7,0.2
p6.pos = 0.6,0.2
p7.pos = 0.5,0.2
p8.pos = 0.4,0.2
p9.pos = 0.3,0.2
p10.pos = 0.2,0.2
p11.pos = 0.1,0.2
p12.pos = 0.0,0.2
p13.pos = -0.1,0.2
s1.time = 60
s1.name = "enemy_circle_mid"
s1.frequency = 60
s2.time = 99999
power = 20
score = 10
life = 150
death.shot = "enemy_five_aimed_slow"
